strategy,n_observations,base_rate,brier_score,market_brier_score,brier_skill_vs_market,log_loss,market_log_loss,calibration_error,n_trades,total_profit,capital_deployed,roi_on_capital,hit_rate,mean_trade_return,per_trade_sharpe,mean_holding_days,capital_years,roi_per_capital_year,final_bankroll,total_return,max_drawdown,n_settlements,peak_group_exposure,skill_captured,mean_trade_return_ci_low,mean_trade_return_ci_high,edge_slope,edge_slope_std_error,edge_slope_t_stat,edge_intercept,edge_r_squared,edge_n_trades,edge_mean_predicted_edge,edge_mean_realized_edge
Market price,17500.0,0.5412571428571429,0.202864940273531,0.202864940273531,0.0,0.5898031141596324,0.5898031141596324,0.04563275842739967,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,
Favourite,17500.0,0.5412571428571429,0.21224374036952842,0.202864940273531,-0.04623174454566481,0.6264615793645066,0.5898031141596324,0.09626457141157099,45.0,104.51937036334887,6323.3204641569355,0.016529190787625856,0.7111111111111111,-0.022532121712985135,-0.03457937071663881,31.733333333333334,563.4256269500228,0.1855069513418139,10104.519370363347,0.010451937036334735,-0.05290328683528511,46.0,0.0,-1.9728786037671047,-0.16318447348217902,0.14045796880863065,-37.818975105441076,177.76514398793302,-0.2127468538377146,1.796844115407401,0.0010514798268376202,45.0,0.047694746796952736,-0.006922326366870653
Longshot,17500.0,0.5412571428571429,0.20907186831882915,0.202864940273531,-0.030596356555889326,0.6048427096244895,0.5898031141596324,0.06159152579606542,48.0,-190.62816377443426,6827.892476771725,-0.02791903422951449,0.3333333333333333,-0.04864240172458243,-0.03418339957455846,30.6875,596.8760465846482,-0.31937646830563443,9809.37183622556,-0.019062816377444003,-0.14084412497692456,49.0,0.0,-1.305659083288989,-0.395390951291995,0.2438155782411841,,,,,,48.0,0.04774999999999998,0.028352796052711796
Logistic (unanchored),17500.0,0.5412571428571429,0.20469206844285834,0.202864940273531,-0.009006623652483947,0.6481116283270734,0.5898031141596324,0.029299281274976365,47.0,1783.8200446207168,7861.664883508416,0.2269010535367228,0.5106382978723404,0.2202658034524415,0.1497632955458643,30.638297872340427,642.0291790628157,2.778409615626191,11783.820044620714,0.17838200446207142,-0.11363798468155284,48.0,0.0,-0.3843457622200961,-0.3232491228705222,0.7311847112108563,1.7205351261656758,1.640743689134633,1.0486312624936116,-0.04638891920570862,0.02385328436960288,47.0,0.08672920910274044,0.10283173152012423
Market-anchored linear,17500.0,0.5412571428571429,0.19937667014988691,0.202864940273531,0.017195036850333523,0.5813875533529778,0.5898031141596324,0.02726478893738793,49.0,3718.504791889157,8824.71303415885,0.42137401833867055,0.6122448979591837,0.4386106546664836,0.30944654825970486,29.020408163265305,677.3638089782995,5.489671492042005,13718.504791889158,0.3718504791889157,-0.0752215258021588,50.0,0.0,0.7337754745443836,-0.01214819571184797,0.9297600727265115,4.170810022281173,1.6720624561809976,2.494410425198669,-0.1270252258496048,0.11690792572250586,49.0,0.074257359940325,0.18268811521764308
Market-anchored boosted,17500.0,0.5412571428571429,0.19867717506657054,0.202864940273531,0.020643119512489094,0.5796219463688289,0.5898031141596324,0.02029592674896121,49.0,1174.3762211919407,7609.815544082514,0.15432387478894283,0.4897959183673469,0.09938017875229495,0.07429181095663008,29.3265306122449,601.8607299997104,1.9512424762993021,11174.376221191938,0.11743762211919373,-0.06840733305285462,50.0,0.0,0.8809178455502585,-0.2837967588058749,0.5484012849835646,2.890678243455993,2.644266996800303,1.09318697656245,-0.13875201246570443,0.024796272089451454,49.0,0.0675218224780517,0.056431850730097516
