exit_rule,n_trades,total_profit,capital_deployed,roi_on_capital,hit_rate,mean_trade_return,per_trade_sharpe,mean_holding_days,capital_years,roi_per_capital_year,final_bankroll,total_return,max_drawdown,n_settlements,edge_slope,edge_slope_std_error,edge_slope_t_stat,edge_intercept,edge_r_squared,edge_n_trades,edge_mean_predicted_edge,edge_mean_realized_edge,peak_group_exposure,n_settlement,n_convergence,n_stop_loss
Hold to settlement,49.0,3718.504791889157,8824.71303415885,0.42137401833867055,0.6122448979591837,0.4386106546664836,0.30944654825970486,29.020408163265305,677.3638089782995,5.489671492042005,13718.504791889158,0.3718504791889157,-0.0752215258021588,50.0,4.170810022281173,1.6720624561809976,2.494410425198669,-0.1270252258496048,0.11690792572250586,49.0,0.074257359940325,0.18268811521764308,0.0,49.0,0.0,0.0
Exit at 25% of edge remaining,157.0,9217.76196404566,28458.730343957108,0.3238992693151874,0.8535031847133758,0.273340143857457,0.41207497214345057,9.32484076433121,742.1690524032891,12.420030091792073,19217.76196404566,0.9217761964045661,-0.03204081016946114,158.0,0.6854486420203318,0.7847044149762843,0.8735118968854633,0.05684796868697875,0.004898614697750769,157.0,0.06643301622405987,0.10238438944307522,0.0,52.0,105.0,0.0
Exit at 50% of edge remaining,172.0,7736.776815347897,33990.344233317825,0.22761690091282447,0.8662790697674418,0.24002605852748674,0.3845831188792771,8.284883720930232,763.0513724683001,10.139260729354511,17736.7768153479,0.7736776815347901,-0.06088353242039901,173.0,0.28597000929493865,0.6972710552527568,0.4101274635461186,0.07032037357308667,0.0009884604283924014,172.0,0.0664633762627605,0.0893269059007213,0.0,45.0,127.0,0.0
"Exit at 25%, 15c stop",157.0,9217.76196404566,28458.730343957108,0.3238992693151874,0.8535031847133758,0.273340143857457,0.41207497214345057,9.32484076433121,742.1690524032891,12.420030091792073,19217.76196404566,0.9217761964045661,-0.03204081016946114,158.0,0.6854486420203318,0.7847044149762843,0.8735118968854633,0.05684796868697875,0.004898614697750769,157.0,0.06643301622405987,0.10238438944307522,0.0,52.0,105.0,0.0
