uninformed_fill_rate,n_markets,n_fills,total_pnl,return_on_bankroll,quoted_spread_value,adverse_selection_pnl,spread_capture_ratio,informed_fill_share,mean_immediate_pnl,profitable_market_share,mean_absolute_final_inventory,peak_committed_capital,declined_fills,capital_constrained,fair_value
0.0,226.0,1132.0,-4229.881068862839,-0.042298810688627564,2261.893925512397,-6491.774994375236,-1.8700616422163234,1.0,-6.664605249143855,0.3008849557522124,101.76991150442478,7200.0,0.0,0.0,Market price
0.1,226.0,1307.0,-3357.7361022827918,-0.03357736102282754,2610.511821080647,-5968.2479233634385,-1.286236697021668,0.872991583779648,-4.918465627111535,0.3495575221238938,103.98230088495575,7100.0,0.0,0.0,Market price
0.2,226.0,1475.0,-1562.963995848659,-0.01562963995848666,2944.520169402009,-4507.4841652506675,-0.530804309676736,0.7742372881355932,-3.4331398571721863,0.4646017699115044,107.52212389380531,7000.0,0.0,0.0,Market price
0.3,226.0,1638.0,-1288.5366687706098,-0.01288536668770641,3268.5342843298995,-4557.0709531005095,-0.39422461466846137,0.6953601953601953,-2.3022896598209712,0.504424778761062,108.84955752212389,7800.0,0.0,0.0,Market price
0.4,226.0,1793.0,199.07485934572435,0.001990748593456956,3577.2332470031015,-3378.1583876573773,0.055650511330929645,0.6330172894590073,-1.4956225648757295,0.5353982300884956,112.83185840707965,7700.0,0.0,0.0,Market price
0.5,226.0,1976.0,801.5328872055778,0.00801532887205598,3942.350669191149,-3140.817781985571,0.2033134427815951,0.5718623481781376,-0.5724414255983183,0.5663716814159292,108.84955752212389,7100.0,0.0,0.0,Market price
0.6,226.0,2148.0,1939.5889388793676,0.019395889388794166,4289.315080525474,-2349.726141646106,0.4521908282479806,0.5279329608938548,0.08452436119439817,0.5929203539823009,100.0,6300.0,0.0,0.0,Market price
0.8,226.0,2482.0,2916.216714265599,0.029162167142655817,4957.565080525474,-2041.3483662598746,0.588235689677824,0.4548751007252216,1.1584650192796868,0.7079646017699115,80.53097345132744,5400.0,0.0,0.0,Market price
1.0,226.0,2848.0,5687.762566700918,0.05687762566700927,5687.762566700915,2.7284841053187847e-12,1.0000000000000004,0.3964185393258427,1.997107642802289,1.0,0.0,0.0,0.0,0.0,Market price
0.0,226.0,1108.0,-1356.4788115300892,-0.013564788115297852,2214.4561829388135,-3570.934994468903,-0.612556176085589,1.0,-6.142373554970591,0.4424778761061947,152.21238938053096,9500.0,0.0,0.0,Market-anchored linear
0.1,226.0,1275.0,-498.4113226665843,-0.004984113226663321,2548.362151175982,-3046.773473842566,-0.1955810411155983,0.8705882352941177,-4.48706582720527,0.4690265486725664,150.0,9100.0,0.0,0.0,Market-anchored linear
0.2,226.0,1452.0,899.2127278466977,0.00899212727846898,2899.2834691342005,-2000.0707412875026,0.31014998616717715,0.768595041322314,-3.050588060197702,0.5353982300884956,143.36283185840708,8200.0,0.0,0.0,Market-anchored linear
0.3,226.0,1623.0,859.2998357852221,0.008592998357854521,3240.8864691420617,-2381.5866333568397,0.2651434550290491,0.6937769562538509,-1.9936199978190385,0.5707964601769911,139.38053097345133,7800.0,0.0,0.0,Market-anchored linear
0.4,226.0,1793.0,2241.0519683923426,0.022410519683925812,3580.777410198433,-1339.7254418060902,0.6258562629471437,0.6296709425543782,-1.194505425804936,0.6017699115044248,138.49557522123894,7700.0,0.0,0.0,Market-anchored linear
0.5,226.0,1978.0,2692.5544397303015,0.02692554439730433,3950.231984999262,-1257.6775452689603,0.681619320069073,0.5707785642062689,-0.37326652279620615,0.6150442477876106,128.31858407079645,7100.0,0.0,0.0,Market-anchored linear
0.6,226.0,2144.0,3132.6210074633154,0.031326210074634875,4284.032278266657,-1151.4112708033417,0.7312318871534719,0.5265858208955224,0.22404899297672876,0.6371681415929203,114.15929203539822,6600.0,0.0,0.0,Market-anchored linear
0.8,226.0,2483.0,3506.782373294618,0.03506782373294656,4963.057580087641,-1456.2752067930232,0.7065770075616759,0.45469190495368506,1.1927675475374886,0.7300884955752213,86.28318584070796,5400.0,0.0,0.0,Market-anchored linear
1.0,226.0,2848.0,5692.296096173763,0.0569229609617377,5692.296096173761,1.8189894035458565e-12,1.0000000000000002,0.39150280898876405,1.9986994719711246,1.0,0.0,0.0,0.0,0.0,Market-anchored linear
